,Mouse,Amplitude,Miniscope,TimeBin,SleepState,Proportion,Sleep
1,Ca_EEG2-2,1.5mA,Miniscope,14.0,nrem,22.628951747088184,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,14.0,rem,2.329450915141431,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,15.0,wake,81.36439267886855,wake
1,Ca_EEG2-2,1.5mA,Miniscope,15.0,nrem,18.63560732113145,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,15.0,rem,0.0,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,16.0,wake,49.58402662229617,wake
1,Ca_EEG2-2,1.5mA,Miniscope,16.0,nrem,46.75540765391015,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,16.0,rem,3.6605657237936775,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,17.0,wake,88.01996672212978,wake
1,Ca_EEG2-2,1.5mA,Miniscope,17.0,nrem,11.980033277870216,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,17.0,rem,0.0,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,18.0,wake,62.39600665557404,wake
1,Ca_EEG2-2,1.5mA,Miniscope,18.0,nrem,34.775374376039935,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,18.0,rem,2.828618968386023,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,19.0,nrem,86.522462562396,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,19.0,rem,7.9866888519134775,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,19.0,wake,5.490848585690515,wake
0,Ca_EEG2-2,1.5mA,Miniscope,20.0,nrem,76.70549084858568,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,20.0,rem,11.647254575707153,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,20.0,wake,11.647254575707153,wake
0,Ca_EEG2-2,1.5mA,Miniscope,21.0,nrem,67.72046589018302,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,21.0,wake,22.628951747088184,wake
2,Ca_EEG2-2,1.5mA,Miniscope,21.0,rem,9.650582362728786,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,22.0,wake,55.906821963394336,wake
1,Ca_EEG2-2,1.5mA,Miniscope,22.0,nrem,37.93677204658902,sleep
2,Ca_EEG2-2,1.5mA,Miniscope,22.0,rem,6.156405990016639,sleep
0,Ca_EEG2-2,1.5mA,Miniscope,23.0,nrem,73.71048252911814,sleep
1,Ca_EEG2-2,1.5mA,Miniscope,23.0,wake,17.803660565723796,wake
2,Ca_EEG2-2,1.5mA,Miniscope,23.0,rem,8.48585690515807,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,0.0,nrem,53.57737104825291,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,0.0,wake,37.770382695507486,wake
2,Ca_EEG2-3,1.5mA,Miniscope,0.0,rem,8.652246256239602,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,1.0,nrem,57.90349417637272,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,1.0,wake,32.61231281198003,wake
2,Ca_EEG2-3,1.5mA,Miniscope,1.0,rem,9.484193011647255,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,2.0,nrem,69.21797004991681,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,2.0,wake,20.632279534109816,wake
2,Ca_EEG2-3,1.5mA,Miniscope,2.0,rem,10.149750415973378,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,3.0,nrem,66.72212978369384,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,3.0,wake,23.960066555740433,wake
2,Ca_EEG2-3,1.5mA,Miniscope,3.0,rem,9.317803660565724,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,4.0,nrem,74.04326123128119,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,4.0,rem,14.80865224625624,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,4.0,wake,11.148086522462561,wake
0,Ca_EEG2-3,1.5mA,Miniscope,5.0,nrem,53.244592346089846,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,5.0,wake,37.93677204658902,wake
2,Ca_EEG2-3,1.5mA,Miniscope,5.0,rem,8.818635607321132,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,6.0,nrem,46.25623960066555,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,6.0,wake,43.760399334442596,wake
2,Ca_EEG2-3,1.5mA,Miniscope,6.0,rem,9.983361064891847,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,7.0,nrem,73.71048252911814,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,7.0,wake,19.467554076539102,wake
2,Ca_EEG2-3,1.5mA,Miniscope,7.0,rem,6.821963394342761,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,8.0,nrem,49.25124792013311,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,8.0,wake,41.26455906821963,wake
2,Ca_EEG2-3,1.5mA,Miniscope,8.0,rem,9.484193011647255,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,9.0,nrem,63.56073211314476,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,9.0,wake,29.950083194675543,wake
2,Ca_EEG2-3,1.5mA,Miniscope,9.0,rem,6.4891846921797,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,10.0,wake,49.61089494163424,wake
1,Ca_EEG2-3,1.5mA,Miniscope,10.0,nrem,44.55252918287938,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,10.0,rem,5.836575875486381,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,11.0,nrem,58.23627287853578,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,11.0,wake,37.437603993344425,wake
2,Ca_EEG2-3,1.5mA,Miniscope,11.0,rem,4.326123128119801,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,12.0,wake,90.01663893510815,wake
1,Ca_EEG2-3,1.5mA,Miniscope,12.0,nrem,9.983361064891847,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,12.0,rem,0.0,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,13.0,wake,79.53410981697171,wake
1,Ca_EEG2-3,1.5mA,Miniscope,13.0,nrem,18.302828618968388,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,13.0,rem,2.1630615640599005,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,14.0,wake,89.18469217970049,wake
1,Ca_EEG2-3,1.5mA,Miniscope,14.0,nrem,10.8153078202995,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,14.0,rem,0.0,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,15.0,wake,74.37603993344426,wake
1,Ca_EEG2-3,1.5mA,Miniscope,15.0,nrem,25.45757071547421,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,15.0,rem,0.16638935108153077,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,16.0,wake,64.72545757071548,wake
1,Ca_EEG2-3,1.5mA,Miniscope,16.0,nrem,32.77870216306156,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,16.0,rem,2.4958402662229617,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,17.0,nrem,57.73710482529118,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,17.0,wake,33.44425956738768,wake
2,Ca_EEG2-3,1.5mA,Miniscope,17.0,rem,8.818635607321132,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,18.0,wake,54.409317803660564,wake
1,Ca_EEG2-3,1.5mA,Miniscope,18.0,nrem,44.592346089850246,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,18.0,rem,0.9983361064891847,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,19.0,nrem,48.75207986688852,sleep
1,Ca_EEG2-3,1.5mA,Miniscope,19.0,wake,45.4242928452579,wake
2,Ca_EEG2-3,1.5mA,Miniscope,19.0,rem,5.823627287853577,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,20.0,wake,49.417637271214645,wake
1,Ca_EEG2-3,1.5mA,Miniscope,20.0,nrem,45.59068219633943,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,20.0,rem,4.9916805324459235,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,21.0,wake,52.079866888519135,wake
1,Ca_EEG2-3,1.5mA,Miniscope,21.0,nrem,44.09317803660566,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,21.0,rem,3.826955074875208,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,22.0,wake,61.89683860232945,wake
1,Ca_EEG2-3,1.5mA,Miniscope,22.0,nrem,32.4459234608985,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,22.0,rem,5.657237936772046,sleep
0,Ca_EEG2-3,1.5mA,Miniscope,23.0,wake,57.07154742096506,wake
1,Ca_EEG2-3,1.5mA,Miniscope,23.0,nrem,40.099833610648915,sleep
2,Ca_EEG2-3,1.5mA,Miniscope,23.0,rem,2.828618968386023,sleep
0,Ca_EEG3-1,0.25mA,Miniscope,0.0,wake,58.23627287853578,wake
1,Ca_EEG3-1,0.25mA,Miniscope,0.0,nrem,39.10149750415973,sleep
2,Ca_EEG3-1,0.25mA,Miniscope,0.0,rem,2.6622296173044924,sleep
0,Ca_EEG3-1,0.25mA,Miniscope,1.0,nrem,76.37271214642263,sleep
1,Ca_EEG3-1,0.25mA,Miniscope,1.0,wake,15.973377703826955,wake
2,Ca_EEG3-1,0.25mA,Miniscope,1.0,rem,7.653910149750416,sleep
0,Ca_EEG3-1,0.25mA,Miniscope,2.0,nrem,71.54742096505824,sleep
1,Ca_EEG3-1,0.25mA,Miniscope,2.0,wake,18.302828618968388,wake
2,Ca_EEG3-1,0.25mA,Miniscope,2.0,rem,10.149750415973378,sleep
0,Ca_EEG3-1,0.25mA,Miniscope,3.0,wake,72.04658901830283,wake
1,Ca_EEG3-1,0.25mA,Miniscope,3.0,nrem,22.462562396006653,sleep
2,Ca_EEG3-1,0.25mA,Miniscope,3.0,rem,5.490848585690515,sleep
0,Ca_EEG3-1,0.25mA,Miniscope,4.0,nrem,69.7171381031614,sleep
1,Ca_EEG3-1,0.25mA,Miniscope,4.0,wake,25.124792013311147,wake
2,Ca_EEG3-1,0.25mA,Miniscope,4.0,rem,5.158069883527454,sleep
0,Ca_EEG3-1,0.25mA,Miniscope,5.0,wake,64.13255360623782,wake
1,Ca_EEG3-1,0.25mA,Miniscope,5.0,nrem,30.214424951267056,sleep
2,Ca_EEG3-1,0.25mA,Miniscope,5.0,rem,5.653021442495127,sleep
0,Ca_EEG3-1,0.25mA,Miniscope,6.0,wake,49.832214765100666,wake
1,Ca_EEG3-1,0.25mA,Miniscope,6.0,nrem,44.63087248322148,sleep
2,Ca_EEG3-1,0.25mA,Miniscope,6.0,rem,5.5369127516778525,sleep
0,Ca_EEG3-1,0.25mA,Miniscope,7.0,nrem,72.04658901830283,sleep
1,Ca_EEG3-1,0.25mA,Miniscope,7.0,wake,14.309484193011649,wake
2,Ca_EEG3-1,0.25mA,Miniscope,7.0,rem,13.643926788685523,sleep
