,Mouse,Amplitude,Miniscope,TimeBin,Sleep,Proportion
177,Ca_EEG3-1,0.25mA,Miniscope,16.0,wake,92.5124792013311
178,Ca_EEG3-1,0.25mA,Miniscope,17.0,sleep,28.452579034941763
179,Ca_EEG3-1,0.25mA,Miniscope,17.0,wake,71.54742096505824
180,Ca_EEG3-1,0.25mA,Miniscope,18.0,sleep,10.98169717138103
181,Ca_EEG3-1,0.25mA,Miniscope,18.0,wake,89.01830282861897
182,Ca_EEG3-1,0.25mA,Miniscope,19.0,sleep,0.0
183,Ca_EEG3-1,0.25mA,Miniscope,19.0,wake,100.0
184,Ca_EEG3-1,0.25mA,Miniscope,20.0,sleep,82.36272878535775
185,Ca_EEG3-1,0.25mA,Miniscope,20.0,wake,17.637271214642265
186,Ca_EEG3-1,0.25mA,Miniscope,21.0,sleep,61.39767054908486
187,Ca_EEG3-1,0.25mA,Miniscope,21.0,wake,38.60232945091514
188,Ca_EEG3-1,0.25mA,Miniscope,22.0,sleep,28.28618968386023
189,Ca_EEG3-1,0.25mA,Miniscope,22.0,wake,71.71381031613977
190,Ca_EEG3-1,0.25mA,Miniscope,23.0,sleep,56.07321131447588
191,Ca_EEG3-1,0.25mA,Miniscope,23.0,wake,43.92678868552412
192,Ca_EEG3-2,0.25mA,Miniscope,0.0,sleep,74.04326123128119
193,Ca_EEG3-2,0.25mA,Miniscope,0.0,wake,25.9567387687188
194,Ca_EEG3-2,0.25mA,Miniscope,1.0,sleep,92.5124792013311
195,Ca_EEG3-2,0.25mA,Miniscope,1.0,wake,7.487520798668886
196,Ca_EEG3-2,0.25mA,Miniscope,2.0,sleep,34.351145038167935
197,Ca_EEG3-2,0.25mA,Miniscope,2.0,wake,65.64885496183206
198,Ca_EEG3-2,0.25mA,Miniscope,3.0,sleep,83.52745424292846
199,Ca_EEG3-2,0.25mA,Miniscope,3.0,wake,16.472545757071547
200,Ca_EEG3-2,0.25mA,Miniscope,4.0,sleep,80.69883527454243
201,Ca_EEG3-2,0.25mA,Miniscope,4.0,wake,19.30116472545757
202,Ca_EEG3-2,0.25mA,Miniscope,5.0,sleep,68.21963394342762
203,Ca_EEG3-2,0.25mA,Miniscope,5.0,wake,31.78036605657238
204,Ca_EEG3-2,0.25mA,Miniscope,6.0,sleep,78.36938435940101
205,Ca_EEG3-2,0.25mA,Miniscope,6.0,wake,21.630615640599
206,Ca_EEG3-2,0.25mA,Miniscope,7.0,sleep,55.57404326123128
207,Ca_EEG3-2,0.25mA,Miniscope,7.0,wake,44.42595673876872
208,Ca_EEG3-2,0.25mA,Miniscope,8.0,sleep,88.68552412645592
209,Ca_EEG3-2,0.25mA,Miniscope,8.0,wake,11.314475873544092
210,Ca_EEG3-2,0.25mA,Miniscope,9.0,sleep,50.249584026622294
211,Ca_EEG3-2,0.25mA,Miniscope,9.0,wake,49.750415973377706
212,Ca_EEG3-2,0.25mA,Miniscope,10.0,sleep,73.87687188019967
213,Ca_EEG3-2,0.25mA,Miniscope,10.0,wake,26.12312811980033
214,Ca_EEG3-2,0.25mA,Miniscope,11.0,sleep,52.07986688851914
215,Ca_EEG3-2,0.25mA,Miniscope,11.0,wake,47.920133111480865
216,Ca_EEG3-2,0.25mA,Miniscope,12.0,sleep,32.61231281198003
217,Ca_EEG3-2,0.25mA,Miniscope,12.0,wake,67.38768718801997
218,Ca_EEG3-2,0.25mA,Miniscope,13.0,sleep,28.45257903494176
219,Ca_EEG3-2,0.25mA,Miniscope,13.0,wake,71.54742096505824
220,Ca_EEG3-2,0.25mA,Miniscope,14.0,sleep,33.61064891846922
221,Ca_EEG3-2,0.25mA,Miniscope,14.0,wake,66.38935108153078
222,Ca_EEG3-2,0.25mA,Miniscope,15.0,sleep,9.650582362728786
223,Ca_EEG3-2,0.25mA,Miniscope,15.0,wake,90.34941763727122
224,Ca_EEG3-2,0.25mA,Miniscope,16.0,sleep,62.229617304492514
225,Ca_EEG3-2,0.25mA,Miniscope,16.0,wake,37.770382695507486
226,Ca_EEG3-2,0.25mA,Miniscope,17.0,sleep,33.277870216306155
227,Ca_EEG3-2,0.25mA,Miniscope,17.0,wake,66.72212978369384
228,Ca_EEG3-2,0.25mA,Miniscope,18.0,sleep,37.10482529118136
229,Ca_EEG3-2,0.25mA,Miniscope,18.0,wake,62.89517470881864
230,Ca_EEG3-2,0.25mA,Miniscope,19.0,sleep,83.86023294509152
231,Ca_EEG3-2,0.25mA,Miniscope,19.0,wake,16.139767054908486
232,Ca_EEG3-2,0.25mA,Miniscope,20.0,sleep,50.74875207986689
233,Ca_EEG3-2,0.25mA,Miniscope,20.0,wake,49.25124792013311
234,Ca_EEG3-2,0.25mA,Miniscope,21.0,sleep,31.946755407653907
235,Ca_EEG3-2,0.25mA,Miniscope,21.0,wake,68.05324459234609
236,Ca_EEG3-2,0.25mA,Miniscope,22.0,sleep,45.75707154742096
237,Ca_EEG3-2,0.25mA,Miniscope,22.0,wake,54.24292845257903
238,Ca_EEG3-2,0.25mA,Miniscope,23.0,sleep,48.08652246256239
239,Ca_EEG3-2,0.25mA,Miniscope,23.0,wake,51.9134775374376
240,Ca_EEG3-3,0.25mA,Miniscope,0.0,sleep,83.69384359400999
241,Ca_EEG3-3,0.25mA,Miniscope,0.0,wake,16.306156405990016
242,Ca_EEG3-3,0.25mA,Miniscope,1.0,sleep,64.39267886855242
243,Ca_EEG3-3,0.25mA,Miniscope,1.0,wake,35.60732113144759
244,Ca_EEG3-3,0.25mA,Miniscope,2.0,sleep,48.58569051580699
245,Ca_EEG3-3,0.25mA,Miniscope,2.0,wake,51.41430948419301
246,Ca_EEG3-3,0.25mA,Miniscope,3.0,sleep,95.34109816971714
247,Ca_EEG3-3,0.25mA,Miniscope,3.0,wake,4.658901830282862
248,Ca_EEG3-3,0.25mA,Miniscope,4.0,sleep,82.36272878535773
249,Ca_EEG3-3,0.25mA,Miniscope,4.0,wake,17.637271214642265
250,Ca_EEG3-3,0.25mA,Miniscope,5.0,sleep,67.49049429657795
251,Ca_EEG3-3,0.25mA,Miniscope,5.0,wake,32.50950570342205
252,Ca_EEG3-3,0.25mA,Miniscope,6.0,sleep,72.19152854511971
253,Ca_EEG3-3,0.25mA,Miniscope,6.0,wake,27.808471454880294
254,Ca_EEG3-3,0.25mA,Miniscope,7.0,sleep,91.68053244592345
255,Ca_EEG3-3,0.25mA,Miniscope,7.0,wake,8.319467554076539
256,Ca_EEG3-3,0.25mA,Miniscope,8.0,sleep,65.8901830282862
257,Ca_EEG3-3,0.25mA,Miniscope,8.0,wake,34.109816971713805
