,Mouse,Amplitude,Day,TimeBin,SleepState,StateLength
sws,Ca_EEG2-2,1.5mA,PreNeutral,1.0,nrem,71.51351351351352
rem,Ca_EEG3-1,0.25mA,PostNeutral,1.0,rem,11.384615384615383
rem,Ca_EEG_Pilot1,1.5mA,PostNeutral,1.0,rem,24.75
wake,Ca_EEG_Pilot1,1.5mA,PostNeutral,1.0,wake,58.39999999999999
sws,Ca_EEG2-3,1.5mA,PreNeutral,1.0,nrem,31.551724137931036
rem,Ca_EEG2-3,1.5mA,PreNeutral,1.0,rem,12.486486486486488
sws,Ca_EEG3-2,0.25mA,PreNeutral,1.0,nrem,52.846153846153854
wake,Ca_EEG3-2,0.25mA,PreNeutral,1.0,wake,10.636363636363637
sws,Ca_EEG_Pilot1,1.5mA,PostNeutral,1.0,nrem,47.14285714285714
rem,Ca_EEG_Pilot2,1.5mA,PostNeutral,2.0,rem,18.0
wake,Ca_EEG3-4,0.25mA,PostNeutral,2.0,wake,93.27272727272727
wake,Ca_EEG_Pilot2,1.5mA,PostNeutral,2.0,wake,68.57142857142857
rem,Ca_EEG3-4,0.25mA,PostNeutral,2.0,rem,12.17142857142857
sws,Ca_EEG_Pilot2,1.5mA,PostNeutral,2.0,nrem,107.53846153846155
sws,Ca_EEG3-4,0.25mA,PostNeutral,2.0,nrem,21.576923076923077
wake,Ca_EEG2-3,1.5mA,PostNeutral,2.0,wake,18.545454545454547
sws,Ca_EEG2-2,1.5mA,PostAversive,2.0,nrem,52.42857142857142
wake,Ca_EEG2-3,1.5mA,PreNeutral,2.0,wake,28.6875
rem,Ca_EEG_Pilot2,1.5mA,PostAversive,2.0,rem,16.285714285714285
wake,Ca_EEG3-3,0.25mA,PreNeutral,2.0,wake,68.14285714285714
sws,Ca_EEG3-3,0.25mA,PreNeutral,2.0,nrem,90.46153846153845
sws,Ca_EEG_Pilot2,1.5mA,PostAversive,2.0,nrem,70.25806451612902
wake,Ca_EEG_Pilot2,1.5mA,PostAversive,2.0,wake,90.0
wake,Ca_EEG_Pilot2,1.5mA,PreNeutral,2.0,wake,42.0
sws,Ca_EEG_Pilot2,1.5mA,PreNeutral,2.0,nrem,63.449999999999996
rem,Ca_EEG_Pilot2,1.5mA,PreNeutral,2.0,rem,13.304347826086957
rem,Ca_EEG3-3,0.25mA,PreNeutral,2.0,rem,21.0
sws,Ca_EEG2-3,1.5mA,PreNeutral,2.0,nrem,52.66666666666667
rem,Ca_EEG2-3,1.5mA,PreNeutral,2.0,rem,20.8
sws,Ca_EEG2-3,1.5mA,PostNeutral,2.0,nrem,45.666666666666664
wake,Ca_EEG2-3,1.5mA,PostAversive,2.0,wake,49.199999999999996
sws,Ca_EEG2-3,1.5mA,PostAversive,2.0,nrem,64.83333333333333
rem,Ca_EEG2-3,1.5mA,PostAversive,2.0,rem,16.588235294117645
wake,Ca_EEG2-2,1.5mA,PostAversive,2.0,wake,37.54838709677419
rem,Ca_EEG2-2,1.5mA,PostAversive,2.0,rem,21.272727272727273
rem,Ca_EEG2-3,1.5mA,PostNeutral,2.0,rem,20.076923076923077
rem,Ca_EEG_Pilot1,1.5mA,PreNeutral,2.0,rem,6.0
sws,Ca_EEG3-2,0.25mA,PostAversive,2.0,nrem,45.5
sws,Ca_EEG3-1,0.25mA,PostNeutral,2.0,nrem,32.294117647058826
wake,Ca_EEG3-1,0.25mA,PostNeutral,2.0,wake,90.6923076923077
wake,Ca_EEG3-4,0.25mA,PreNeutral,2.0,wake,105.81818181818181
wake,Ca_EEG3-2,0.25mA,PostAversive,2.0,wake,12.166666666666666
rem,Ca_EEG3-4,0.25mA,PreNeutral,2.0,rem,10.105263157894736
wake,Ca_EEG2-2,1.5mA,PreNeutral,2.0,wake,9.142857142857142
sws,Ca_EEG2-2,1.5mA,PreNeutral,2.0,nrem,66.4090909090909
rem,Ca_EEG2-2,1.5mA,PreNeutral,2.0,rem,19.44
wake,Ca_EEG3-2,0.25mA,PostNeutral,2.0,wake,27.23076923076923
sws,Ca_EEG3-2,0.25mA,PostNeutral,2.0,nrem,65.53846153846155
rem,Ca_EEG3-2,0.25mA,PostNeutral,2.0,rem,21.0
wake,Ca_EEG_Pilot1,1.5mA,PostNeutral,2.0,wake,22.457142857142856
sws,Ca_EEG_Pilot1,1.5mA,PostNeutral,2.0,nrem,48.57692307692308
rem,Ca_EEG_Pilot1,1.5mA,PostNeutral,2.0,rem,13.09090909090909
rem,Ca_EEG3-1,0.25mA,PostAversive,2.0,rem,14.363636363636363
sws,Ca_EEG3-1,0.25mA,PostAversive,2.0,nrem,30.974999999999998
wake,Ca_EEG3-1,0.25mA,PostAversive,2.0,wake,11.781818181818181
sws,Ca_EEG_Pilot1,1.5mA,PreNeutral,2.0,nrem,35.45454545454545
wake,Ca_EEG_Pilot1,1.5mA,PreNeutral,2.0,wake,77.4
rem,Ca_EEG2-1,1.5mA,PostAversive,2.0,rem,11.612903225806452
sws,Ca_EEG2-1,1.5mA,PostAversive,2.0,nrem,70.57894736842105
wake,Ca_EEG2-1,1.5mA,PostAversive,2.0,wake,50.727272727272734
wake,Ca_EEG3-3,0.25mA,PostAversive,2.0,wake,17.8
rem,Ca_EEG3-1,0.25mA,PostNeutral,2.0,rem,16.0
sws,Ca_EEG3-3,0.25mA,PostAversive,2.0,nrem,50.28
wake,Ca_EEG3-2,0.25mA,PreNeutral,2.0,wake,53.8
sws,Ca_EEG3-2,0.25mA,PreNeutral,2.0,nrem,47.53846153846154
rem,Ca_EEG3-2,0.25mA,PreNeutral,2.0,rem,14.666666666666668
wake,Ca_EEG2-1,1.5mA,PostNeutral,2.0,wake,136.28571428571428
sws,Ca_EEG2-1,1.5mA,PostNeutral,2.0,nrem,42.17142857142857
rem,Ca_EEG2-1,1.5mA,PostNeutral,2.0,rem,9.818181818181818
rem,Ca_EEG3-3,0.25mA,PostAversive,2.0,rem,19.714285714285715
rem,Ca_EEG2-2,1.5mA,PostNeutral,2.0,rem,26.0
sws,Ca_EEG3-4,0.25mA,PreNeutral,2.0,nrem,27.69230769230769
wake,Ca_EEG_Pilot1,1.5mA,PostAversive,2.0,wake,50.53846153846154
sws,Ca_EEG3-3,0.25mA,PostNeutral,2.0,nrem,75.15789473684211
wake,Ca_EEG3-3,0.25mA,PostNeutral,2.0,wake,13.714285714285714
wake,Ca_EEG2-2,1.5mA,PostNeutral,2.0,wake,106.28571428571429
sws,Ca_EEG2-2,1.5mA,PostNeutral,2.0,nrem,93.9
sws,Ca_EEG_Pilot1,1.5mA,PostAversive,2.0,nrem,57.891891891891895
rem,Ca_EEG_Pilot1,1.5mA,PostAversive,2.0,rem,12.0
rem,Ca_EEG3-4,0.25mA,PostAversive,2.0,rem,13.161290322580644
sws,Ca_EEG3-4,0.25mA,PostAversive,2.0,nrem,35.25
wake,Ca_EEG3-4,0.25mA,PostAversive,2.0,wake,118.80000000000001
rem,Ca_EEG3-3,0.25mA,PostNeutral,2.0,rem,19.82608695652174
sws,Ca_EEG2-1,1.5mA,PreNeutral,2.0,nrem,55.82608695652174
rem,Ca_EEG3-2,0.25mA,PostAversive,2.0,rem,15.42857142857143
wake,Ca_EEG3-1,0.25mA,PreNeutral,2.0,wake,74.44444444444444
wake,Ca_EEG2-1,1.5mA,PreNeutral,2.0,wake,52.28571428571428
sws,Ca_EEG3-1,0.25mA,PreNeutral,2.0,nrem,27.0
rem,Ca_EEG3-1,0.25mA,PreNeutral,2.0,rem,14.307692307692307
rem,Ca_EEG2-1,1.5mA,PreNeutral,2.0,rem,9.09090909090909
wake,Ca_EEG_Pilot2,1.5mA,PostAversive,3.0,wake,12.0
wake,Ca_EEG2-3,1.5mA,PreNeutral,3.0,wake,17.11111111111111
wake,Ca_EEG3-3,0.25mA,PreNeutral,3.0,wake,24.967741935483872
sws,Ca_EEG3-3,0.25mA,PreNeutral,3.0,nrem,50.46153846153847
rem,Ca_EEG3-3,0.25mA,PreNeutral,3.0,rem,7.333333333333334
wake,Ca_EEG2-2,1.5mA,PostAversive,3.0,wake,7.636363636363637
rem,Ca_EEG3-3,0.25mA,PostAversive,3.0,rem,15.899999999999999
sws,Ca_EEG3-3,0.25mA,PostAversive,3.0,nrem,59.28571428571429
wake,Ca_EEG3-3,0.25mA,PostAversive,3.0,wake,31.68
wake,Ca_EEG2-1,1.5mA,PostAversive,3.0,wake,73.5
sws,Ca_EEG_Pilot2,1.5mA,PostAversive,3.0,nrem,62.375
rem,Ca_EEG2-2,1.5mA,PostAversive,3.0,rem,23.28
rem,Ca_EEG2-1,1.5mA,PostAversive,3.0,rem,10.142857142857142
sws,Ca_EEG2-1,1.5mA,PostAversive,3.0,nrem,36.32727272727273
sws,Ca_EEG2-2,1.5mA,PostAversive,3.0,nrem,79.29729729729729
sws,Ca_EEG2-1,1.5mA,PreNeutral,3.0,nrem,31.333333333333336
rem,Ca_EEG3-3,0.25mA,PostNeutral,3.0,rem,12.42857142857143
wake,Ca_EEG2-1,1.5mA,PostNeutral,3.0,wake,70.0
rem,Ca_EEG2-1,1.5mA,PreNeutral,3.0,rem,6.0
