,Mouse,Amplitude,Day,Previous,Next,Transition,Probability
1,Ca_EEG3-1,0.25mA,PreNeutral,nrem,rem,nrem to rem,0.05744562186279978
2,Ca_EEG3-1,0.25mA,PreNeutral,nrem,wake,nrem to wake,0.1213980293734895
3,Ca_EEG3-1,0.25mA,PreNeutral,rem,nrem,rem to nrem,0.3877551020408163
4,Ca_EEG3-1,0.25mA,PreNeutral,rem,rem,rem to rem,0.5149136577708007
5,Ca_EEG3-1,0.25mA,PreNeutral,rem,wake,rem to wake,0.09733124018838304
6,Ca_EEG3-1,0.25mA,PreNeutral,wake,nrem,wake to nrem,0.08792020687107499
7,Ca_EEG3-1,0.25mA,PreNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG3-1,0.25mA,PreNeutral,wake,wake,wake to wake,0.912079793128925
0,Ca_EEG3-1,0.25mA,PostNeutral,nrem,nrem,nrem to nrem,0.825590108654927
1,Ca_EEG3-1,0.25mA,PostNeutral,nrem,rem,nrem to rem,0.05282877482203072
2,Ca_EEG3-1,0.25mA,PostNeutral,nrem,wake,nrem to wake,0.12158111652304233
3,Ca_EEG3-1,0.25mA,PostNeutral,rem,nrem,rem to nrem,0.36622073578595316
4,Ca_EEG3-1,0.25mA,PostNeutral,rem,rem,rem to rem,0.5284280936454849
5,Ca_EEG3-1,0.25mA,PostNeutral,rem,wake,rem to wake,0.10535117056856187
6,Ca_EEG3-1,0.25mA,PostNeutral,wake,nrem,wake to nrem,0.08424908424908426
7,Ca_EEG3-1,0.25mA,PostNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG3-1,0.25mA,PostNeutral,wake,wake,wake to wake,0.9157509157509157
0,Ca_EEG3-1,0.25mA,PostAversive,nrem,nrem,nrem to nrem,0.815272870043188
1,Ca_EEG3-1,0.25mA,PostAversive,nrem,rem,nrem to rem,0.053003533568904596
2,Ca_EEG3-1,0.25mA,PostAversive,nrem,wake,nrem to wake,0.13172359638790734
3,Ca_EEG3-1,0.25mA,PostAversive,rem,nrem,rem to nrem,0.3565365025466893
4,Ca_EEG3-1,0.25mA,PostAversive,rem,rem,rem to rem,0.5415959252971138
5,Ca_EEG3-1,0.25mA,PostAversive,rem,wake,rem to wake,0.10186757215619695
6,Ca_EEG3-1,0.25mA,PostAversive,wake,nrem,wake to nrem,0.085
7,Ca_EEG3-1,0.25mA,PostAversive,wake,rem,wake to rem,0.0
8,Ca_EEG3-1,0.25mA,PostAversive,wake,wake,wake to wake,0.915
0,Ca_EEG3-2,0.25mA,PreNeutral,nrem,nrem,nrem to nrem,0.8883767823707331
1,Ca_EEG3-2,0.25mA,PreNeutral,nrem,rem,nrem to rem,0.04508137692640069
2,Ca_EEG3-2,0.25mA,PreNeutral,nrem,wake,nrem to wake,0.0665418407028662
3,Ca_EEG3-2,0.25mA,PreNeutral,rem,nrem,rem to nrem,0.27233115468409586
4,Ca_EEG3-2,0.25mA,PreNeutral,rem,rem,rem to rem,0.659041394335512
5,Ca_EEG3-2,0.25mA,PreNeutral,rem,wake,rem to wake,0.06862745098039216
6,Ca_EEG3-2,0.25mA,PreNeutral,wake,nrem,wake to nrem,0.08253419273699104
7,Ca_EEG3-2,0.25mA,PreNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG3-2,0.25mA,PreNeutral,wake,wake,wake to wake,0.917465807263009
0,Ca_EEG3-2,0.25mA,PostNeutral,nrem,nrem,nrem to nrem,0.9063522355507089
1,Ca_EEG3-2,0.25mA,PostNeutral,nrem,rem,nrem to rem,0.03680479825517993
2,Ca_EEG3-2,0.25mA,PostNeutral,nrem,wake,nrem to wake,0.056842966194111236
3,Ca_EEG3-2,0.25mA,PostNeutral,rem,nrem,rem to nrem,0.2305159165751921
4,Ca_EEG3-2,0.25mA,PostNeutral,rem,rem,rem to rem,0.7047200878155873
5,Ca_EEG3-2,0.25mA,PostNeutral,rem,wake,rem to wake,0.06476399560922064
6,Ca_EEG3-2,0.25mA,PostNeutral,wake,nrem,wake to nrem,0.07815828281173194
7,Ca_EEG3-2,0.25mA,PostNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG3-2,0.25mA,PostNeutral,wake,wake,wake to wake,0.921841717188268
0,Ca_EEG3-2,0.25mA,PostAversive,nrem,nrem,nrem to nrem,0.8986273949099228
1,Ca_EEG3-2,0.25mA,PostAversive,nrem,rem,nrem to rem,0.03817557906777238
2,Ca_EEG3-2,0.25mA,PostAversive,nrem,wake,nrem to wake,0.06319702602230483
3,Ca_EEG3-2,0.25mA,PostAversive,rem,nrem,rem to nrem,0.24165707710011508
4,Ca_EEG3-2,0.25mA,PostAversive,rem,rem,rem to rem,0.6927502876869965
5,Ca_EEG3-2,0.25mA,PostAversive,rem,wake,rem to wake,0.06559263521288838
6,Ca_EEG3-2,0.25mA,PostAversive,wake,nrem,wake to nrem,0.07641653905053598
7,Ca_EEG3-2,0.25mA,PostAversive,wake,rem,wake to rem,0.0
8,Ca_EEG3-2,0.25mA,PostAversive,wake,wake,wake to wake,0.923583460949464
0,Ca_EEG3-3,0.25mA,PreNeutral,nrem,nrem,nrem to nrem,0.911308840413318
1,Ca_EEG3-3,0.25mA,PreNeutral,nrem,rem,nrem to rem,0.031142365097588977
2,Ca_EEG3-3,0.25mA,PreNeutral,nrem,wake,nrem to wake,0.057548794489092996
3,Ca_EEG3-3,0.25mA,PreNeutral,rem,nrem,rem to nrem,0.2975609756097561
4,Ca_EEG3-3,0.25mA,PreNeutral,rem,rem,rem to rem,0.6471544715447154
5,Ca_EEG3-3,0.25mA,PreNeutral,rem,wake,rem to wake,0.055284552845528454
6,Ca_EEG3-3,0.25mA,PreNeutral,wake,nrem,wake to nrem,0.06665642758408846
7,Ca_EEG3-3,0.25mA,PreNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG3-3,0.25mA,PreNeutral,wake,wake,wake to wake,0.9333435724159115
0,Ca_EEG3-3,0.25mA,PostNeutral,nrem,nrem,nrem to nrem,0.8993506493506493
1,Ca_EEG3-3,0.25mA,PostNeutral,nrem,rem,nrem to rem,0.037408243929983064
2,Ca_EEG3-3,0.25mA,PostNeutral,nrem,wake,nrem to wake,0.06324110671936758
3,Ca_EEG3-3,0.25mA,PostNeutral,rem,nrem,rem to nrem,0.2683544303797468
4,Ca_EEG3-3,0.25mA,PostNeutral,rem,rem,rem to rem,0.6645569620253164
5,Ca_EEG3-3,0.25mA,PostNeutral,rem,wake,rem to wake,0.0670886075949367
6,Ca_EEG3-3,0.25mA,PostNeutral,wake,nrem,wake to nrem,0.07678160919540229
7,Ca_EEG3-3,0.25mA,PostNeutral,wake,rem,wake to rem,0.0
8,Ca_EEG3-3,0.25mA,PostNeutral,wake,wake,wake to wake,0.9232183908045977
0,Ca_EEG3-3,0.25mA,PostAversive,nrem,nrem,nrem to nrem,0.8975279657505869
1,Ca_EEG3-3,0.25mA,PostAversive,nrem,rem,nrem to rem,0.03797817980941859
2,Ca_EEG3-3,0.25mA,PostAversive,nrem,wake,nrem to wake,0.06449385443999447
3,Ca_EEG3-3,0.25mA,PostAversive,rem,nrem,rem to nrem,0.3133047210300429
4,Ca_EEG3-3,0.25mA,PostAversive,rem,rem,rem to rem,0.6065808297567954
5,Ca_EEG3-3,0.25mA,PostAversive,rem,wake,rem to wake,0.08011444921316166
6,Ca_EEG3-3,0.25mA,PostAversive,wake,nrem,wake to nrem,0.08270202020202021
7,Ca_EEG3-3,0.25mA,PostAversive,wake,rem,wake to rem,0.0
8,Ca_EEG3-3,0.25mA,PostAversive,wake,wake,wake to wake,0.9172979797979798
0,Ca_EEG3-4,0.25mA,PreNeutral,nrem,nrem,nrem to nrem,0.7462627852084972
