,Mouse,Amplitude,Bin,EventFrequency
4,RLI6-10,0.25mA,25.0,4.188888888888889
5,RLI6-10,0.25mA,30.0,4.388888888888888
6,RLI6-10,0.25mA,35.0,2.311111111111111
7,RLI6-10,0.25mA,40.0,4.366666666666666
8,RLI6-10,0.25mA,45.0,2.944444444444444
9,RLI6-10,0.25mA,50.0,3.8777777777777778
10,RLI6-10,0.25mA,55.0,2.533333333333333
11,RLI6-10,0.25mA,60.0,2.8000000000000003
0,RLI6-11,1.5mA,5.0,5.944444444444445
1,RLI6-11,1.5mA,10.0,4.455555555555556
2,RLI6-11,1.5mA,15.0,4.488888888888889
3,RLI6-11,1.5mA,20.0,5.455555555555556
4,RLI6-11,1.5mA,25.0,3.833333333333333
5,RLI6-11,1.5mA,30.0,4.433333333333334
6,RLI6-11,1.5mA,35.0,4.644444444444444
7,RLI6-11,1.5mA,40.0,1.9222222222222225
8,RLI6-11,1.5mA,45.0,3.022222222222222
9,RLI6-11,1.5mA,50.0,4.044444444444444
10,RLI6-11,1.5mA,55.0,8.266666666666666
11,RLI6-11,1.5mA,60.0,4.7444444444444445
