,Mouse,Amplitude,BehavioralState,Ensemble,FiringRate,CellIndex
7230,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06426469452845,3844.0
7231,RLI9-6,1.5mA,Quiet Rest,Fear,0.06884653428261954,3845.0
7232,RLI9-6,1.5mA,Quiet Rest,Fear,0.27480541025500593,3846.0
7233,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.0008204251032490047,3847.0
7234,RLI9-6,1.5mA,Quiet Rest,Fear,-0.04102990387983949,3848.0
7235,RLI9-6,1.5mA,Quiet Rest,Fear,-0.024239322939966498,3849.0
7236,RLI9-6,1.5mA,Quiet Rest,Remaining,0.01791017846145267,3850.0
7237,RLI9-6,1.5mA,Quiet Rest,Fear,-0.029528443562764562,3851.0
7238,RLI9-6,1.5mA,Quiet Rest,Fear,0.4207445545626203,3852.0
7239,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.027042135460321443,3853.0
7240,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.019750524379908575,3854.0
7241,RLI9-6,1.5mA,Quiet Rest,Fear,0.05029423884532261,3855.0
7242,RLI9-6,1.5mA,Quiet Rest,Fear,0.31323379758390035,3856.0
7243,RLI9-6,1.5mA,Quiet Rest,Fear,-0.008364290427094873,3857.0
7244,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.046086043999482317,3858.0
7245,RLI9-6,1.5mA,Quiet Rest,Fear,-0.05622226878731416,3859.0
7246,RLI9-6,1.5mA,Quiet Rest,Remaining,0.0016585672847629954,3860.0
7247,RLI9-6,1.5mA,Quiet Rest,Fear,0.006474598320439215,3861.0
7248,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05970096949138013,3862.0
7249,RLI9-6,1.5mA,Quiet Rest,Fear,0.13554159675185914,3863.0
7250,RLI9-6,1.5mA,Quiet Rest,Remaining,0.038530565087494646,3864.0
7251,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06426469452845,3865.0
7252,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06372849962639122,3866.0
7253,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.061258200450696236,3867.0
7254,RLI9-6,1.5mA,Quiet Rest,Fear,-0.018488991949464673,3868.0
7255,RLI9-6,1.5mA,Quiet Rest,Fear,0.016057031703827104,3869.0
7256,RLI9-6,1.5mA,Quiet Rest,Fear,-0.004629020388909527,3870.0
7257,RLI9-6,1.5mA,Quiet Rest,Remaining,0.13217344085481658,3871.0
7258,RLI9-6,1.5mA,Quiet Rest,Remaining,0.1269883789047458,3872.0
7259,RLI9-6,1.5mA,Quiet Rest,Remaining,0.07298809271910199,3873.0
7260,RLI9-6,1.5mA,Quiet Rest,Fear,0.0038058411580244433,3874.0
7261,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.010957389571557122,3875.0
7262,RLI9-6,1.5mA,Quiet Rest,Remaining,0.07906969599092957,3876.0
7263,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.05223866678054785,3877.0
7264,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.03866628877760922,3878.0
7265,RLI9-6,1.5mA,Quiet Rest,Fear,-0.000150445047408335,3879.0
7266,RLI9-6,1.5mA,Quiet Rest,Fear,1.7127835162904017,3880.0
7267,RLI9-6,1.5mA,Quiet Rest,Fear,0.01996939582782075,3881.0
7268,RLI9-6,1.5mA,Quiet Rest,Remaining,-0.06426469452845,3882.0
