,Cell,EncodingActivity,OfflineActivity
55,55,-0.07148208424372288,-0.06309725120253687
56,56,-0.07146454290302473,-0.06515569507200462
57,57,-0.0714522358738957,0.021983178578564078
58,58,-0.07128603752097233,-0.060199044441548125
59,59,-0.07046592814228818,-0.03592582460768544
60,60,-0.07042696588512617,-0.025525965238001554
61,61,-0.07010243237565156,-0.04706313668012167
62,62,-0.06938179190233298,-0.06517239357680893
63,63,-0.0688900217577375,-0.062371466984874765
64,64,-0.06862404141669583,-0.06230774110652089
65,65,-0.06831809178418377,-0.03666116831048638
66,66,-0.0681033717583723,-0.06250493641811058
67,67,-0.06798412135541504,-0.05831827598531432
68,68,-0.06757493599589608,-0.06748499895649888
69,69,-0.06724315392144042,0.0013833676248921243
70,70,-0.06719588288353964,-0.06150200378650443
71,71,-0.06717950638767503,-0.03916214070744566
72,72,-0.0669471906379338,0.011473700795618692
73,73,-0.06675440992520609,-0.06319774248367176
74,74,-0.06672377034513066,-0.0626039539644469
75,75,-0.06644120331537919,0.0028045434176934337
76,76,-0.06641069427225295,-0.04966746708762304
77,77,-0.06639424536285113,-0.035043794844867325
78,78,-0.06604831468967742,-0.0658773565667656
79,79,-0.06575872969280973,-0.042489368457840605
80,80,-0.06542783540094416,-0.018637854543278615
81,81,-0.06519404550534351,-0.048867361360552766
82,82,-0.06505344181015377,-0.04254430679485974
83,83,-0.06459390816710942,-0.06217872214267515
84,84,-0.06392548690431808,-0.06528632480781128
85,85,-0.06374699942557885,-0.013690112936937716
86,86,-0.06342938494931392,0.008441043520926776
87,87,-0.06252141656240312,-0.05532518157287242
88,88,-0.062272567394946715,-0.028997253140576773
89,89,-0.06190983400319907,-0.03465552869333857
90,90,-0.061686423500323974,-0.02836809656406675
91,91,-0.061371095151750606,-0.05080502298791141
92,92,-0.061312057112430304,-0.025465498701536804
93,93,-0.06087894921973496,-0.04182851242094886
94,94,-0.06073992733292835,-0.05942896471070563
95,95,-0.06073019635939976,0.08844553119215186
96,96,-0.06044480898949105,-0.01365254000342219
97,97,-0.06014400001874558,-0.049003420618854515
98,98,-0.06009530052325211,-0.0459057243208832
99,99,-0.05957584378792277,-0.029410262022087484
100,100,-0.05838878693990036,-0.04384101889430295
101,101,-0.05828258890301442,-0.054701650839251485
102,102,-0.057560964655628315,-0.05490396726212009
103,103,-0.05752481412685871,-0.061825795954112674
104,104,-0.057192480641696124,-0.01653479725701286
105,105,-0.0571259729507416,-0.04205081187442495
106,106,-0.056971228347916666,0.03279798415469762
107,107,-0.05677298557720487,-0.06317758321506348
108,108,-0.056636211765011324,0.022482256492539807
109,109,-0.05567352323974287,-0.041128613935155635
110,110,-0.054841960361906764,-0.047448249048975696
111,111,-0.0546885854735508,-0.06112210860420573
112,112,-0.05465394034036705,-0.03792687016967083
113,113,-0.05457458361897515,-0.0513863031441282
114,114,-0.054114556274537935,-0.031578519570687025
115,115,-0.053964566995056765,-0.01674588412647215
116,116,-0.053700696215601966,-0.05909853371262745
117,117,-0.05340566406239134,-0.04910804748230804
118,118,-0.05305365005223455,-0.04386841405368356
119,119,-0.05300099641182775,-0.06353696621236055
120,120,-0.05187456873013999,0.1466341204354561
121,121,-0.051623111725893366,-0.05959218854904875
122,122,-0.051532323229166885,-0.06147853175006726
123,123,-0.051530718428049495,-0.006773041136973523
124,124,-0.05133430936344841,-0.0629650711769068
125,125,-0.05097875015135486,-0.047454595748804916
126,126,-0.05073835833712649,-0.002788293233223471
127,127,-0.050536343204055256,-0.043561554004385765
128,128,-0.050496336499688585,-0.05281111465748128
129,129,-0.048960350732794485,-0.047644019656106956
130,130,-0.04873020818085064,-0.048232286155424534
131,131,-0.04871219584743586,-0.06363062379005077
132,132,-0.04850790492877031,0.07260251159697016
133,133,-0.04725733118864569,-0.06346171651186737
134,134,-0.04715026107496777,-0.058358819568002
135,135,-0.04701723442680667,-0.0024912756363085005
136,136,-0.045640726642275475,0.007874687992788348
137,137,-0.04554567956069634,0.2031383077311728
138,138,-0.045482497512785956,-0.06070010321809301
139,139,-0.04534279437874756,-0.04781609281435194
140,140,-0.044693917018490945,-0.03970535507942699
141,141,-0.04462971190326185,-0.038704285374094476
142,142,-0.04432121963061849,0.017555781001892957
143,143,-0.0439914158505816,-0.06253605909950335
144,144,-0.043507639743073714,-0.031221143621151103
145,145,-0.04318526542938881,-0.047808564509613745
146,146,-0.04247481046030578,-0.030105279508771284
147,147,-0.04167230065608448,-0.039425889057358166
148,148,-0.041428858440848794,-0.05357394211995252
149,149,-0.041114186482963645,-0.04608104692798636
150,150,-0.041068614517810735,-0.026448356419471818
151,151,-0.04072788830951239,0.008436307569252956
152,152,-0.040706491297899695,-0.03440968813064173
153,153,-0.0400738582084128,-0.0519945565799047
154,154,-0.039373263073458314,-0.049733936653914686
155,155,-0.03836290593839582,0.12457662950652362
156,156,-0.038050783845392656,-0.048760531026435336
157,157,-0.03754259472702147,-0.055061914153759876
158,158,-0.03752024275184477,-0.0231578822938419
159,159,-0.037476571149126975,-0.02676527028565585
160,160,-0.03688305578616028,-0.05323322345480186
161,161,-0.03545058058590428,-0.02361946136384464
162,162,-0.0352280631567915,-0.05197871992093561
163,163,-0.03513736285010628,-0.048683584354811904
164,164,-0.03444333308109729,-0.045860754280631987
165,165,-0.03437043311935427,-0.06007971878502858
166,166,-0.033965749874466475,-0.026346252544776617
167,167,-0.03346311107148298,0.03703449435105555
168,168,-0.032933286200575604,-0.05906459882940987
169,169,-0.03287207998137774,0.0092907426599899
170,170,-0.03277253042450815,-0.04660959193579656
171,171,-0.032272675955314474,-0.06293543552173747
172,172,-0.029968587385081007,-0.04787459129222673
173,173,-0.02986171751861991,0.22430366195748722
174,174,-0.029794489003074288,-0.04246897118970884
175,175,-0.028614176293463592,-0.05698150852152509
176,176,-0.027922519750193147,-0.03036022945869966
177,177,-0.027625133299402898,-0.03272165859079208
178,178,-0.02750806891923629,0.044098819822840044
179,179,-0.02685118277979344,-0.014105418166436177
180,180,-0.025479556449216238,-0.024498024978122437
181,181,-0.02387884707014324,0.06112274443210526
182,182,-0.02375177590766781,-0.027410785390385387
183,183,-0.02371984704227125,-0.005887521557171392
184,184,-0.0235748567185432,-0.02532978134189993
185,185,-0.02349485895560966,0.04931093499269213
186,186,-0.023251278027328716,-0.023811240928177
187,187,-0.023067434938747015,-0.002092908870859483
188,188,-0.02292745149758953,0.3175490641674634
189,189,-0.021371636731244637,0.04765685839313337
190,190,-0.020271378397614104,-0.04251294929724826
191,191,-0.020231307208428043,-0.034844694834330406
192,192,-0.01964222508522424,-0.03183324890171458
193,193,-0.018626521696275856,-0.0295525882759909
194,194,-0.018352168245120835,0.008448648449158568
195,195,-0.017226132423753843,0.07225902072058611
196,196,-0.017126639396846367,0.019645511099246206
197,197,-0.01554884416054543,0.011705063403733743
198,198,-0.014291554511216945,-0.04652127100656064
199,199,-0.014178945923034598,0.0701995291663278
200,200,-0.013751351091894763,-0.028161667186131816
201,201,-0.011187217456624382,0.03706620962086485
202,202,-0.011179484917515164,-0.05647946455265436
203,203,-0.010221168481784202,-0.033347632198015384
204,204,-0.009442724569286375,0.01634940375618539
205,205,-0.008250674808713374,0.007034884580855003
206,206,-0.00757093408465525,-0.014564284351010039
207,207,-0.0075636892054780054,0.05524629427866253
208,208,-0.007475223103436729,0.010041852011024551
209,209,-0.006354119090575509,-0.030819509865289894
210,210,-0.005553139414594321,-0.04685229990396978
211,211,-0.004950453281697151,0.015936053041750834
212,212,-0.0043324257143385544,-0.03732006175452753
213,213,-0.0030423035593589364,0.00019264285791248842
214,214,-0.002863826060513034,-0.034562935831447365
215,215,-0.0022475722742384048,-0.043549548248251246
216,216,-0.0009668033934750556,0.03550817761950283
217,217,-0.000425112891115674,-0.04163239957646295
218,218,0.0007252760052412192,-0.035717433398551414
219,219,0.0008766362781135174,0.05551244852752127
220,220,0.0017853950666328246,-0.04381885191196797
221,221,0.0018209983662797074,0.0938717614414825
222,222,0.0031075445300308203,0.018066541836466096
223,223,0.0031671992188307026,-0.03708011110136076
224,224,0.0037150509362510126,-0.028133545015780727
225,225,0.0037209875102186688,-0.025092831977042845
226,226,0.003811757213184476,-0.03914958087917727
227,227,0.004732263685800908,-0.00211124718045682
228,228,0.005799862004743293,0.016983588524648006
229,229,0.005833350046712819,0.037795693389645814
230,230,0.006852956352279652,-0.041643856557010625
231,231,0.0071469191130472415,-0.022976659421689524
232,232,0.007883568652631288,-0.038034719942506005
233,233,0.009422830173947435,0.0013200519064740953
234,234,0.012537323666932462,-0.04260165357606084
235,235,0.012962615209349177,-0.05729956013846652
236,236,0.012990781682968753,0.022713150751706275
237,237,0.013557228148550147,0.04672961522513279
238,238,0.013558059650384428,-0.058711735470168225
239,239,0.014174475167023965,-0.04860730665041854
240,240,0.01746543506189735,-0.015228023669822758
241,241,0.01988515180358789,-0.04442219145424095
242,242,0.021607343027514863,0.019469185677259155
243,243,0.02273017620732486,-0.012358334929487102
244,244,0.027894469395979154,0.24064824444540317
245,245,0.02922222842489261,-0.0344724551940763
246,246,0.029809601840690834,-0.014051036291746795
247,247,0.031486020952673076,0.026585107841796508
248,248,0.03177724046585707,-0.008171440159355505
249,249,0.0335272774969004,-0.05745977807607488
250,250,0.034570300564026345,0.1134001682851789
251,251,0.03613589532671154,0.04677519282489008
252,252,0.03701828410909818,0.30763811545262615
253,253,0.03706192559122669,0.01674134938518748
254,254,0.03709292869171401,-0.035678657738752534
255,255,0.03932480480732277,0.22159142623422498
256,256,0.0413469664470479,0.00818411487580281
257,257,0.04382622181639786,0.012763234399303089
258,258,0.04578083795894888,0.056664644635574
259,259,0.046762485285070925,0.14425842826143895
260,260,0.04801044256109689,-0.038682036510011626
261,261,0.04854155742718263,0.05002998361497108
262,262,0.05001073254802245,0.15476440064627892
263,263,0.051151547621295784,-0.044948772842136
264,264,0.05143036599345662,0.05555443748967034
265,265,0.052751150682734955,0.000412036792906542
266,266,0.057992387394003364,0.1761486413503684
267,267,0.059172128502209084,-0.06844574913058182
268,268,0.06072511969962852,-0.015853569749166047
269,269,0.06645433508946817,0.006507115615558544
270,270,0.06653029144343238,0.05465419141172354
271,271,0.06688938953230295,0.001233357459014986
272,272,0.06865385418650871,0.07495758952162704
273,273,0.07139803681335637,0.05187366555743878
274,274,0.07334940451073366,-0.018739758139496805
275,275,0.07545776592076811,0.19479866455949876
276,276,0.07943040727791413,-0.03713201881999202
277,277,0.07973216970411631,0.04234135924822504
278,278,0.08028644115086425,-0.022442708393368968
279,279,0.08785818444880168,0.12065962731172097
280,280,0.08824022404996376,-0.03278404391648382
281,281,0.09226938019832306,0.05106487948150405
282,282,0.09438456100003685,-0.016682643957041297
283,283,0.09774256209907735,0.06240099641891127
284,284,0.10127471485106163,0.049838965879975244
285,285,0.1047946074978374,0.016175432905510163
286,286,0.10601547484637727,0.010823206692890547
287,287,0.10715549655115479,0.08892312633932596
288,288,0.10779730625023616,0.2356057138409554
289,289,0.11612069723634053,-0.045580019643192686
290,290,0.11728655984560601,-0.057179139149976486
291,291,0.12243318948103747,0.06941230055466853
292,292,0.12698204265193874,0.10662764514030064
293,293,0.13614110890735803,-0.007283740719511823
294,294,0.1361485838974457,0.1809437649382172
295,295,0.14711484785474807,0.09711374937907015
296,296,0.14991389365936245,-0.057035093052737844
297,297,0.15589385378742318,0.19899148687568446
298,298,0.16257896982201914,0.15678803439173034
299,299,0.16375035625001255,0.15271981904691048
