,Mouse,Amplitude,TimeBin,Motion
210,RLI9-3,1.5mA,27,1.1488106464107644
211,RLI9-4,1.5mA,27,0.9072998730670081
212,RLI9-5,1.5mA,27,2.5742634840386835
213,RLI9-6,1.5mA,27,2.868240166824549
214,RLI9-7,1.5mA,27,2.0302171567619247
215,RLI9-8,1.5mA,27,2.959537755708442
216,RLI9-1,1.5mA,28,2.740891904270602
217,RLI9-2,1.5mA,28,2.0167909893216462
218,RLI9-3,1.5mA,28,2.3887066445454006
219,RLI9-4,1.5mA,28,0.977004708944
220,RLI9-5,1.5mA,28,2.3649380163660676
221,RLI9-6,1.5mA,28,3.576357243915275
222,RLI9-7,1.5mA,28,1.9815679913459296
223,RLI9-8,1.5mA,28,3.05412135674309
224,RLI9-1,1.5mA,29,2.6014923634603715
225,RLI9-2,1.5mA,29,2.502517091186047
226,RLI9-3,1.5mA,29,2.285948145018041
227,RLI9-4,1.5mA,29,1.0462839225521345
228,RLI9-5,1.5mA,29,2.7965241550779845
229,RLI9-6,1.5mA,29,3.0461566528409048
230,RLI9-7,1.5mA,29,2.507572194152566
231,RLI9-8,1.5mA,29,2.370666134825482
232,RLI9-1,1.5mA,30,1.9040215086805068
233,RLI9-2,1.5mA,30,0.8649721209085193
234,RLI9-3,1.5mA,30,1.4205007427886465
235,RLI9-4,1.5mA,30,1.764410461132521
236,RLI9-5,1.5mA,30,2.6856870504864365
237,RLI9-6,1.5mA,30,1.8895019557196318
238,RLI9-7,1.5mA,30,2.4890167110476833
239,RLI9-8,1.5mA,30,2.3071757690778063
240,RLI9-1,1.5mA,31,1.3540394177428892
241,RLI9-2,1.5mA,31,1.1143889340278208
242,RLI9-3,1.5mA,31,2.496436951783342
243,RLI9-4,1.5mA,31,1.4654487864297865
244,RLI9-5,1.5mA,31,1.9055177967335637
245,RLI9-6,1.5mA,31,2.1569053937533047
246,RLI9-7,1.5mA,31,2.911206053657141
247,RLI9-8,1.5mA,31,2.773167464992528
248,RLI9-1,1.5mA,32,2.9328735672137993
249,RLI9-2,1.5mA,32,1.7595533503998735
250,RLI9-3,1.5mA,32,2.7183948943149354
251,RLI9-4,1.5mA,32,1.248515472310886
252,RLI9-5,1.5mA,32,1.0282429283938226
253,RLI9-6,1.5mA,32,3.265600849304036
254,RLI9-7,1.5mA,32,2.760136988145149
255,RLI9-8,1.5mA,32,2.3654581241479207
256,RLI9-1,1.5mA,33,2.093778536906488
257,RLI9-2,1.5mA,33,2.10555228022857
258,RLI9-3,1.5mA,33,2.612508182521005
259,RLI9-4,1.5mA,33,1.7721215025643684
260,RLI9-5,1.5mA,33,1.8899526753833003
261,RLI9-6,1.5mA,33,1.0702262765417123
262,RLI9-7,1.5mA,33,2.844475399896884
263,RLI9-8,1.5mA,33,2.405389093451737
264,RLI9-1,1.5mA,34,3.071719721840718
265,RLI9-2,1.5mA,34,2.3194336816171988
266,RLI9-3,1.5mA,34,2.5627139483800074
267,RLI9-4,1.5mA,34,2.669233269468466
268,RLI9-5,1.5mA,34,2.0211446415115937
269,RLI9-6,1.5mA,34,2.316734487150119
270,RLI9-7,1.5mA,34,2.858856696710154
271,RLI9-8,1.5mA,34,2.2631696594132706
272,RLI9-1,1.5mA,35,2.995150786729244
273,RLI9-2,1.5mA,35,2.2629198235666195
274,RLI9-3,1.5mA,35,2.5320472640339964
275,RLI9-4,1.5mA,35,2.6641955895803036
276,RLI9-5,1.5mA,35,1.8973218687434958
277,RLI9-6,1.5mA,35,2.937094373069458
278,RLI9-7,1.5mA,35,2.2002528543048276
279,RLI9-8,1.5mA,35,2.533211915790588
280,RLI9-1,1.5mA,36,1.531950365303902
281,RLI9-2,1.5mA,36,2.706732980237557
282,RLI9-3,1.5mA,36,2.651741364919524
283,RLI9-4,1.5mA,36,1.9991613183186847
284,RLI9-5,1.5mA,36,2.3293670633992583
285,RLI9-6,1.5mA,36,2.0909774218681454
286,RLI9-7,1.5mA,36,0.9429034805266955
287,RLI9-8,1.5mA,36,2.473283870023002
288,RLI9-1,1.5mA,37,1.6572039476545997
289,RLI9-2,1.5mA,37,3.084486929008097
290,RLI9-3,1.5mA,37,2.604747811853735
291,RLI9-4,1.5mA,37,2.0260078994244943
292,RLI9-5,1.5mA,37,2.212875361366971
293,RLI9-6,1.5mA,37,2.897190267710182
294,RLI9-7,1.5mA,37,1.2600109303614764
295,RLI9-8,1.5mA,37,2.1928509336206035
296,RLI9-1,1.5mA,38,2.2919542087835874
297,RLI9-2,1.5mA,38,2.5254439928709824
298,RLI9-3,1.5mA,38,2.4077357087221136
299,RLI9-4,1.5mA,38,1.8101547154799138
300,RLI9-5,1.5mA,38,2.4240316901371464
301,RLI9-6,1.5mA,38,2.7763398800852648
302,RLI9-7,1.5mA,38,0.9010898566991162
303,RLI9-8,1.5mA,38,1.999473630417311
304,RLI9-1,1.5mA,39,2.0628618458843633
305,RLI9-2,1.5mA,39,1.875371149041794
306,RLI9-3,1.5mA,39,2.011140934606319
307,RLI9-4,1.5mA,39,2.1416232137199502
308,RLI9-5,1.5mA,39,1.0331665251501696
309,RLI9-6,1.5mA,39,3.0309964212897698
310,RLI9-7,1.5mA,39,2.1172404840705465
311,RLI9-8,1.5mA,39,2.3708003926286123
312,RLI9-1,1.5mA,40,3.0436203606021603
313,RLI9-2,1.5mA,40,2.6749387021687197
314,RLI9-3,1.5mA,40,2.7629600572201243
315,RLI9-4,1.5mA,40,2.106319147128639
316,RLI9-5,1.5mA,40,0.5796387133602475
317,RLI9-6,1.5mA,40,2.732377562292948
318,RLI9-7,1.5mA,40,2.2495030831517946
319,RLI9-8,1.5mA,40,2.856316879972534
320,RLI9-1,1.5mA,41,2.480659534931623
321,RLI9-2,1.5mA,41,2.2605555712244203
322,RLI9-3,1.5mA,41,2.315275066129684
323,RLI9-4,1.5mA,41,2.121955407682298
324,RLI9-5,1.5mA,41,0.5172873862521147
325,RLI9-6,1.5mA,41,2.6374189667977053
326,RLI9-7,1.5mA,41,2.1771030984549964
327,RLI9-8,1.5mA,41,2.4715772560625835
328,RLI9-1,1.5mA,42,1.8297502057715787
329,RLI9-2,1.5mA,42,1.8957395672078137
330,RLI9-3,1.5mA,42,1.1596244352295033
331,RLI9-4,1.5mA,42,2.4135095962144724
332,RLI9-5,1.5mA,42,0.73794295582743
333,RLI9-6,1.5mA,42,3.1368233447256366
334,RLI9-7,1.5mA,42,2.4643792589375684
335,RLI9-8,1.5mA,42,1.9944633647507735
336,RLI9-1,1.5mA,43,1.476367870603103
337,RLI9-2,1.5mA,43,0.743784799986394
338,RLI9-3,1.5mA,43,2.705720603179542
339,RLI9-4,1.5mA,43,2.2417772472246713
340,RLI9-5,1.5mA,43,1.7458119539865922
341,RLI9-6,1.5mA,43,3.0118707348516858
342,RLI9-7,1.5mA,43,3.0469115706946757
343,RLI9-8,1.5mA,43,1.6161888775494304
344,RLI9-1,1.5mA,44,2.7580710363806613
345,RLI9-2,1.5mA,44,0.7742305188886038
346,RLI9-3,1.5mA,44,2.6330239886160167
347,RLI9-4,1.5mA,44,1.3953568048177258
348,RLI9-5,1.5mA,44,2.4604475710508726
349,RLI9-6,1.5mA,44,2.8900876424963386
350,RLI9-7,1.5mA,44,3.266318295800437
351,RLI9-8,1.5mA,44,2.5310760364136757
352,RLI9-1,1.5mA,45,2.6769682367036243
