,Mouse,Amplitude,BinSize,ParticipationRatio
130,RLI9-3,1.5mA,0.8,0.9867112255362483
131,RLI9-4,1.5mA,0.8,0.9408379084419484
132,RLI9-5,1.5mA,0.8,0.9913012498886679
133,RLI9-6,1.5mA,0.8,1.0830289155427264
134,RLI9-7,1.5mA,0.8,1.05174473877933
135,RLI9-8,1.5mA,0.8,1.041846799580273
136,RLI9-1,1.5mA,0.8500000000000001,0.9590866181002085
137,RLI9-2,1.5mA,0.8500000000000001,1.047758303641856
138,RLI9-3,1.5mA,0.8500000000000001,1.012827852182166
139,RLI9-4,1.5mA,0.8500000000000001,0.9339522798922628
140,RLI9-5,1.5mA,0.8500000000000001,0.9588020674977196
141,RLI9-6,1.5mA,0.8500000000000001,1.0536011959266944
142,RLI9-7,1.5mA,0.8500000000000001,1.0665966546488046
143,RLI9-8,1.5mA,0.8500000000000001,1.0693165228931651
144,RLI9-1,1.5mA,0.9000000000000001,0.965378421900161
145,RLI9-2,1.5mA,0.9000000000000001,1.033422426142143
146,RLI9-3,1.5mA,0.9000000000000001,1.0165953457426702
147,RLI9-4,1.5mA,0.9000000000000001,0.9440634080209223
148,RLI9-5,1.5mA,0.9000000000000001,0.96956396373306
149,RLI9-6,1.5mA,0.9000000000000001,1.0656315552891817
150,RLI9-7,1.5mA,0.9000000000000001,1.082859257869984
151,RLI9-8,1.5mA,0.9000000000000001,1.039865747943988
152,RLI9-1,1.5mA,0.9500000000000001,0.9671830052242025
153,RLI9-2,1.5mA,0.9500000000000001,1.0446383933522732
154,RLI9-3,1.5mA,0.9500000000000001,1.0059973087856564
155,RLI9-4,1.5mA,0.9500000000000001,0.9570776409076532
156,RLI9-5,1.5mA,0.9500000000000001,0.9225398831148317
157,RLI9-6,1.5mA,0.9500000000000001,1.056259573355251
158,RLI9-7,1.5mA,0.9500000000000001,1.0673176911815576
159,RLI9-8,1.5mA,0.9500000000000001,1.0736278651685394
160,RLI9-1,1.5mA,1.0,0.9585584127433722
161,RLI9-2,1.5mA,1.0,1.0647169609416798
162,RLI9-3,1.5mA,1.0,1.0148042340274452
163,RLI9-4,1.5mA,1.0,0.9521435988725707
164,RLI9-5,1.5mA,1.0,0.9647116256363762
165,RLI9-6,1.5mA,1.0,1.1006010095420489
166,RLI9-7,1.5mA,1.0,1.0804153078847019
167,RLI9-8,1.5mA,1.0,1.0361220084467386
