,Mouse,SessionCombo,FirstSessionActivityBin,FractionReactivated
88,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,60,59.59595959595959
89,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,60,57.009345794392516
90,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,70,71.91011235955057
91,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,70,74.07407407407408
92,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,70,71.91011235955057
93,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,70,59.86842105263158
94,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,70,60.66666666666667
95,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,70,63.81578947368421
96,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,70,53.333333333333336
97,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,70,71.42857142857143
98,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,70,60.0
99,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,70,56.41025641025641
100,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,70,75.0
101,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,70,76.92307692307693
102,GAD_hM3Dq_GCaMP5,PreBaseline x Baseline,70,62.616822429906534
103,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,70,69.6969696969697
104,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,70,57.943925233644855
105,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,80,69.66292134831461
106,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,80,74.07407407407408
107,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,80,77.52808988764045
108,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,80,59.210526315789465
109,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,80,68.0
110,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,80,61.8421052631579
111,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,80,56.666666666666664
112,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,80,67.85714285714286
113,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,80,60.0
114,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,80,74.35897435897436
115,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,80,71.875
116,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,80,89.74358974358975
117,GAD_hM3Dq_GCaMP5,PreBaseline x Baseline,80,59.43396226415094
118,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,80,58.58585858585859
119,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,80,59.43396226415094
120,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,90,76.40449438202246
121,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,90,83.9506172839506
122,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,90,79.7752808988764
123,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,90,67.10526315789474
124,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,90,70.66666666666667
125,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,90,67.76315789473685
126,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,90,63.33333333333333
127,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,90,64.28571428571429
128,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,90,63.33333333333333
129,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,90,69.23076923076923
130,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,90,87.09677419354838
131,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,90,79.48717948717949
132,GAD_hM3Dq_GCaMP5,PreBaseline x Baseline,90,74.52830188679245
133,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,90,70.70707070707071
134,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,90,73.58490566037736
135,GAD_hM3Dq_GCaMP1,PreBaseline x Baseline,100,79.54545454545455
136,GAD_hM3Dq_GCaMP1,Baseline x PostBaseline,100,85.18518518518519
137,GAD_hM3Dq_GCaMP1,PreBaseline x PostBaseline,100,86.36363636363636
138,GAD_hM3Dq_GCaMP2,PreBaseline x Baseline,100,74.17218543046357
139,GAD_hM3Dq_GCaMP2,Baseline x PostBaseline,100,79.33333333333333
140,GAD_hM3Dq_GCaMP2,PreBaseline x PostBaseline,100,78.80794701986756
141,GAD_hM3Dq_GCaMP3,PreBaseline x Baseline,100,66.66666666666666
142,GAD_hM3Dq_GCaMP3,Baseline x PostBaseline,100,67.85714285714286
143,GAD_hM3Dq_GCaMP3,PreBaseline x PostBaseline,100,73.33333333333333
144,GAD_hM3Dq_GCaMP4,PreBaseline x Baseline,100,87.17948717948718
145,GAD_hM3Dq_GCaMP4,Baseline x PostBaseline,100,90.32258064516128
146,GAD_hM3Dq_GCaMP4,PreBaseline x PostBaseline,100,89.74358974358975
147,GAD_hM3Dq_GCaMP5,PreBaseline x Baseline,100,59.43396226415094
148,GAD_hM3Dq_GCaMP5,Baseline x PostBaseline,100,83.83838383838383
149,GAD_hM3Dq_GCaMP5,PreBaseline x PostBaseline,100,69.81132075471697
