,Mouse,CutoffFraction,Ensemble,FractionOfEnsembleCells
3,RLI12-2,76,Remaining,0.7485714285714286
0,RLI12-2,78,Aversive,0.9846153846153847
1,RLI12-2,78,Overlap,0.9413680781758957
2,RLI12-2,78,Neutral,0.4645161290322581
3,RLI12-2,78,Remaining,0.7485714285714286
0,RLI12-2,80,Aversive,1.0
1,RLI12-2,80,Overlap,1.0
2,RLI12-2,80,Neutral,0.4774193548387097
3,RLI12-2,80,Remaining,0.7565714285714286
0,RLI12-2,82,Aversive,1.0
1,RLI12-2,82,Overlap,1.0
2,RLI12-2,82,Neutral,0.4774193548387097
3,RLI12-2,82,Remaining,0.7897142857142857
0,RLI12-2,84,Aversive,1.0
1,RLI12-2,84,Overlap,1.0
2,RLI12-2,84,Neutral,0.4774193548387097
3,RLI12-2,84,Remaining,0.824
0,RLI12-2,86,Aversive,1.0
1,RLI12-2,86,Overlap,1.0
2,RLI12-2,86,Neutral,0.4774193548387097
3,RLI12-2,86,Remaining,0.8571428571428571
0,RLI12-2,88,Aversive,1.0
1,RLI12-2,88,Overlap,1.0
2,RLI12-2,88,Neutral,0.4774193548387097
3,RLI12-2,88,Remaining,0.8902857142857142
0,RLI12-2,90,Aversive,1.0
1,RLI12-2,90,Overlap,1.0
2,RLI12-2,90,Neutral,0.4967741935483871
3,RLI12-2,90,Remaining,0.9211428571428572
0,RLI12-2,92,Aversive,1.0
1,RLI12-2,92,Overlap,1.0
2,RLI12-2,92,Neutral,0.6838709677419355
3,RLI12-2,92,Remaining,0.9211428571428572
0,RLI12-2,94,Aversive,1.0
1,RLI12-2,94,Overlap,1.0
2,RLI12-2,94,Neutral,0.8709677419354839
3,RLI12-2,94,Remaining,0.9211428571428572
0,RLI12-2,96,Aversive,1.0
1,RLI12-2,96,Overlap,1.0
2,RLI12-2,96,Neutral,0.967741935483871
3,RLI12-2,96,Remaining,0.9382857142857143
0,RLI12-2,98,Aversive,1.0
1,RLI12-2,98,Overlap,1.0
2,RLI12-2,98,Neutral,0.967741935483871
