,Mouse,CutoffFraction,Ensemble,FractionOfGadCells
3,RLI12-1,84,Remaining,0.5133276010318143
0,RLI12-1,86,Aversive,0.11754827875734676
1,RLI12-1,86,Overlap,0.27455919395465994
2,RLI12-1,86,Neutral,0.0906801007556675
3,RLI12-1,86,Remaining,0.5172124265323258
0,RLI12-1,88,Aversive,0.11494252873563218
1,RLI12-1,88,Overlap,0.2684729064039409
2,RLI12-1,88,Neutral,0.09770114942528736
3,RLI12-1,88,Remaining,0.5188834154351396
0,RLI12-1,90,Aversive,0.11235955056179775
1,RLI12-1,90,Overlap,0.26484751203852325
2,RLI12-1,90,Neutral,0.10192616372391654
3,RLI12-1,90,Remaining,0.5208667736757624
0,RLI12-1,92,Aversive,0.10989010989010989
1,RLI12-1,92,Overlap,0.28100470957613816
2,RLI12-1,92,Neutral,0.09968602825745683
3,RLI12-1,92,Remaining,0.5094191522762951
0,RLI12-1,94,Aversive,0.10760953112990007
1,RLI12-1,94,Overlap,0.29592621060722524
2,RLI12-1,94,Neutral,0.09761721752498079
3,RLI12-1,94,Remaining,0.49884704073789393
0,RLI12-1,96,Aversive,0.1053423626787058
1,RLI12-1,96,Overlap,0.3002257336343115
2,RLI12-1,96,Neutral,0.10609480812641084
3,RLI12-1,96,Remaining,0.48833709556057187
0,RLI12-1,98,Aversive,0.10316875460574797
1,RLI12-1,98,Overlap,0.29771554900515845
2,RLI12-1,98,Neutral,0.1208548268238762
3,RLI12-1,98,Remaining,0.4782608695652174
0,RLI12-1,100,Aversive,0.10108303249097472
1,RLI12-1,100,Overlap,0.29747292418772564
2,RLI12-1,100,Neutral,0.1328519855595668
3,RLI12-1,100,Remaining,0.46859205776173285
0,RLI12-2,2,Aversive,0.13793103448275862
1,RLI12-2,2,Overlap,0.6896551724137931
2,RLI12-2,2,Remaining,0.1724137931034483
3,RLI12-2,2,Neutral,0.0
0,RLI12-2,4,Aversive,0.10344827586206896
1,RLI12-2,4,Overlap,0.6724137931034483
2,RLI12-2,4,Neutral,0.034482758620689655
3,RLI12-2,4,Remaining,0.1896551724137931
0,RLI12-2,6,Aversive,0.17045454545454544
1,RLI12-2,6,Overlap,0.6136363636363636
2,RLI12-2,6,Neutral,0.045454545454545456
3,RLI12-2,6,Remaining,0.17045454545454544
0,RLI12-2,8,Aversive,0.1452991452991453
1,RLI12-2,8,Overlap,0.6324786324786325
2,RLI12-2,8,Neutral,0.06837606837606838
3,RLI12-2,8,Remaining,0.15384615384615385
0,RLI12-2,10,Aversive,0.1643835616438356
1,RLI12-2,10,Overlap,0.6027397260273972
2,RLI12-2,10,Neutral,0.0821917808219178
3,RLI12-2,10,Remaining,0.1506849315068493
0,RLI12-2,12,Aversive,0.1590909090909091
1,RLI12-2,12,Overlap,0.5795454545454546
2,RLI12-2,12,Neutral,0.09090909090909091
3,RLI12-2,12,Remaining,0.17045454545454544
0,RLI12-2,14,Aversive,0.15121951219512195
1,RLI12-2,14,Overlap,0.5902439024390244
2,RLI12-2,14,Neutral,0.08292682926829269
3,RLI12-2,14,Remaining,0.17560975609756097
0,RLI12-2,16,Aversive,0.15384615384615385
1,RLI12-2,16,Overlap,0.5641025641025641
2,RLI12-2,16,Neutral,0.1111111111111111
3,RLI12-2,16,Remaining,0.17094017094017094
0,RLI12-2,18,Aversive,0.14015151515151514
1,RLI12-2,18,Overlap,0.5454545454545454
2,RLI12-2,18,Neutral,0.10606060606060606
3,RLI12-2,18,Remaining,0.20833333333333334
0,RLI12-2,20,Aversive,0.12627986348122866
1,RLI12-2,20,Overlap,0.49146757679180886
2,RLI12-2,20,Neutral,0.09556313993174062
3,RLI12-2,20,Remaining,0.28668941979522183
0,RLI12-2,22,Aversive,0.11490683229813664
1,RLI12-2,22,Overlap,0.4472049689440994
2,RLI12-2,22,Neutral,0.08695652173913043
3,RLI12-2,22,Remaining,0.35093167701863354
